Date,Titles
14-3-2019,"Geneva 2019: Tata Motors To Reveal New Generation Passenger Vehicles. Tata Harrier receives over 10000 bookings in India since launch. Not just Tata Motors, a lot of other companies are excited by Jaguar Land Rover numbers. "
15-3-2019,"Not just Tata Motors, a lot of other companies are excited by Jaguar Land Rover numbers. Tata, Reliance, Airtel are the best Indian brands: Interbrand Report. Dealerships Start Accepting Bookings For Yamaha MT-15 In India. "
17-3-2019,Geneva 2019: Tata Motors To Reveal New Generation Passenger Vehicles. Tata Motors to have 4 new cars making global debut at 2019 Geneva - Official. In pictures: Cars unveiled at the 89th Geneva International Motor Show. 
18-3-2019,"High court stays Wadia defamation plea hearing against Ratan Tata, others | Mint. Tata Motors considering a sub-Tiago hatchback - Report. One-third of existing jobs to be automated in next 3 years: Survey. "
20-3-2019,Tata H5X Concept @ Auto Expo 2018. Named Tata Harrier! EDIT: Launched @ Rs. 12.69 lakhs. 5 bestselling entry-level hatchbacks in February 2019. Shriram City aims for quarterly reduction in NPAs. 
21-3-2019,Slowdown in automobile sales forces parts makers to tread with caution. MG Motor signs Benedict Cumberbatch as India brand ambassador | Mint. All-new BMW 2 Series Gran Coupe teased. 
22-3-2019,"Tata Harrier vehicle is classified under heading 8703 with compensation rate @ 22% : AAR, Maharashtra. Tata H5X Concept @ Auto Expo 2018. Named Tata Harrier! EDIT: Launched @ Rs. 12.69 lakhs. Tata Motors Finance asked to return vehicle, pay Chandigarh resident Rs 1.2 lakh for seizing it. "
23-3-2019,Tata Motors Announces New Harrier TV Campaign For IPL 2019. Tata H5X Concept @ Auto Expo 2018. Named Tata Harrier! EDIT: Launched @ Rs. 12.69 lakhs. How Chandrasekaran is reviving the Tata Group. 
24-3-2019,Tata Motors to increase car prices from April 2019. Tata H5X Concept @ Auto Expo 2018. Named Tata Harrier! EDIT: Launched @ Rs. 12.69 lakhs. Giving Credit. 
25-3-2019,"Tata H5X Concept @ Auto Expo 2018. Named Tata Harrier! EDIT: Launched @ Rs. 12.69 lakhs. Tata Motors to Hike Prices of the Harrier, Nexon, Tiago, and Others. 80% of Indian engineers not fit for jobs, says survey. "
26-3-2019,"Indian online food ordering market set to grow at 16.2%, to touch $17.02 billion by 2023. What BSE, NSE special live trading session mean for investors? Zerodha explains | Mint. Jet Airways public shareholders to get 1 share for every 100. "
27-3-2019,GMR Infra share price rises after Tata Group-led consortium plans to buy 40% stake in all GMR airports. Production-spec Tata Altroz spotted with 16-inch alloys. Soonawala retires from Tata Trusts on health grounds. 
28-3-2019,Tata Group's Titan: Jewellery-to-eyewear manufacturer's market capitalisation crosses ₹3 lakh crore. Designing the Future of Mobility. Mahindra to hike prices of vehicles by up to Rs 73000 from April. 
29-3-2019,Tata Motors sells stake in TAL to TASL for Rs 625 crore. 2019 Tata Hexa starts arriving at dealerships. Tata Motors arm transfers defence business worth Rs 625 crore to TASL. 
30-3-2019,"Cyrus Mistry's removal shocked us: Ex-brand custodian of Tata Group. Here are 11 electric cars that will be launched in the next two years. Income tax, GST offices to remain open this Saturday, Sunday to help year-end collection. "
31-3-2019,"Tata Motors posts net loss of Rs 28,826 crore in FY19, JLR turns profitable in Q4. Tata Motors gains 5% as JLR expects earnings to improve in Q4. Trending stocks: IndusInd Bank shares climb over 2%. "
2-4-2019,Mahindra XUV300 Vs Maruti Vitara Brezza: Image Comparison. Tata H5X Concept @ Auto Expo 2018. Named Tata Harrier! EDIT: Launched @ Rs. 12.69 lakhs. Tata Motors displays environment-friendly solutions at Clean Tech Environment 2019. 
3-4-2019,2019 Tata Hexa - Now in pictures. Tata H5X Concept @ Auto Expo 2018. Named Tata Harrier! EDIT: Launched @ Rs. 12.69 lakhs. TATA STEEL ALL SET TO CELEBRATE THE 180th BIRTH ANNIVERSARY OF IT'S FOUNDER. 
4-4-2019,"Tata Hexa 2016-2020 XT On Road Price (Diesel), Features & Specs, Images. No production of Tata Nano for 3rd month in row, no sales in March. Tata Harrier outsells Jeep Compass and Mahindra XUV500 in March sales. "
5-4-2019,"Will you pay ₹148 cr for a lunch with Warren Buffett? Someone just did | Mint. Siddhant Chaturvedi joins Messi, Hrithik and Akshay; becomes a part of Tata Motors Family!. Towards the lithium-ion battery production network: Thinking beyond mineral supply chains. "
6-4-2019,"TCS shares trade in red - Buy, Sell or Hold? Heres what brokerage suggests. TCS declares final dividend for FY23: How it compares with previous years | Mint. Adani Gas shares soar 18% as French energy firm Total agrees to buy 37.4% stake. "
7-4-2019,"SC says govt can take over your land for free if it… | Mint. Sensex, Nifty close higher ahead of Budget 2019. Tata Buzzard (7-seater Harrier) to replace Hexa- Report. "
8-4-2019,The Kia Seltos SUV (SP Concept). EDIT : Launched at Rs. 9.69 lakhs. Auto industry may further cut production | Mint. How the NBFC crisis sent India's automobile sector into a tailspin. 
9-4-2019,SUVs drive passenger vehicle sales to over 40 lakh units in 2023. Tata Motors share price falls over 5% amid reports JLR to shut UK plants for a week. Truck Sales Crash 60%; Ashok Leyland Sees Decline of 70% in August. 
10-4-2019,"Got sold a Tata Harrier damaged in transit; repainted shoddily. EDIT: Resolved (page 3). Renault outperforms Kia and Tata Motors in terms of volumes and market share in September 2019. Tata Tiago 2019-2020 Wizz Edition Petrol On Road Price, Features & Specs, Images. "
11-4-2019,"Lok Sabha Election 2024 : Seat-sharing deal finalised by Maharashtra allies, announcement soon: Sanjay Raut | Mint. Tata Motors share price falls over 5% amid reports JLR to shut UK plants for a week. Tata Motors announces countrywide customer dialogue programme and service campaigns. "
12-4-2019,"Tata Altroz bookings to start on December 4, launch in January 2020. Tata unveils Altroz: First car from the company's stable with BSVI powertrain. First Tata Altroz rolls off the production line. "
