Date,Titles
14-03-2019,"Geneva 2019: Tata Motors To Reveal New Generation Passenger Vehicles. Tata Harrier receives over 10000 bookings in India since launch. Not just Tata Motors, a lot of other companies are excited by Jaguar Land Rover numbers. "
15-03-2019,"Not just Tata Motors, a lot of other companies are excited by Jaguar Land Rover numbers. Tata, Reliance, Airtel are the best Indian brands: Interbrand Report. Dealerships Start Accepting Bookings For Yamaha MT-15 In India. "
17-03-2019,Geneva 2019: Tata Motors To Reveal New Generation Passenger Vehicles. Tata Motors to have 4 new cars making global debut at 2019 Geneva - Official. In pictures: Cars unveiled at the 89th Geneva International Motor Show. 
20-03-2019,Tata H5X Concept @ Auto Expo 2018. Named Tata Harrier! EDIT: Launched @ Rs. 12.69 lakhs. 5 bestselling entry-level hatchbacks in February 2019. Shriram City aims for quarterly reduction in NPAs. 
22-03-2019,"Tata Harrier vehicle is classified under heading 8703 with compensation rate @ 22% : AAR, Maharashtra. Tata H5X Concept @ Auto Expo 2018. Named Tata Harrier! EDIT: Launched @ Rs. 12.69 lakhs. Tata Motors Finance asked to return vehicle, pay Chandigarh resident Rs 1.2 lakh for seizing it. "
23-03-2019,Tata Motors Announces New Harrier TV Campaign For IPL 2019. Tata H5X Concept @ Auto Expo 2018. Named Tata Harrier! EDIT: Launched @ Rs. 12.69 lakhs. How Chandrasekaran is reviving the Tata Group. 
24-03-2019,Tata Motors to increase car prices from April 2019. Tata H5X Concept @ Auto Expo 2018. Named Tata Harrier! EDIT: Launched @ Rs. 12.69 lakhs. Giving Credit. 
25-03-2019,"Tata H5X Concept @ Auto Expo 2018. Named Tata Harrier! EDIT: Launched @ Rs. 12.69 lakhs. Tata Motors to Hike Prices of the Harrier, Nexon, Tiago, and Others. 80% of Indian engineers not fit for jobs, says survey. "
27-03-2019,GMR Infra share price rises after Tata Group-led consortium plans to buy 40% stake in all GMR airports. Production-spec Tata Altroz spotted with 16-inch alloys. Soonawala retires from Tata Trusts on health grounds. 
28-03-2019,Tata Group's Titan: Jewellery-to-eyewear manufacturer's market capitalisation crosses ₹3 lakh crore. Designing the Future of Mobility. Mahindra to hike prices of vehicles by up to Rs 73000 from April. 
29-03-2019,Tata Motors sells stake in TAL to TASL for Rs 625 crore. 2019 Tata Hexa starts arriving at dealerships. Tata Motors arm transfers defence business worth Rs 625 crore to TASL. 
30-03-2019,"Cyrus Mistry's removal shocked us: Ex-brand custodian of Tata Group. Here are 11 electric cars that will be launched in the next two years. Income tax, GST offices to remain open this Saturday, Sunday to help year-end collection. "
31-03-2019,"Tata Motors posts net loss of Rs 28,826 crore in FY19, JLR turns profitable in Q4. Tata Motors gains 5% as JLR expects earnings to improve in Q4. Trending stocks: IndusInd Bank shares climb over 2%. "
