Date,Title
2024-02-01,"TCS coming back to 5% from 20%; there’s a PLI for R&D and innovation: Rohinton Sidhwa, Deloitte India"
2024-02-01,TCS 'sets condition' for promotions and salary hikes
2024-02-01,"Now, TCS employees have to do this to get next promotion & variable pay"
2024-02-02,TCS 'sets condition' for promotions and salary hikes
2024-02-02,"Now, TCS employees have to do this to get next promotion & variable pay"
2024-02-02,"Coaching centres are a symptom of the problem, not the problem itself"
2024-02-03,"Coaching centres are a symptom of the problem, not the problem itself"
2024-02-03,"Sensex slides 1,000 points from interim high, closes above 72,000"
2024-02-03,Mcap of eight of top-10 most valued firms climb Rs 2.90 lakh crore; Reliance shines
2024-02-04,"F&O stocks for today: TVS Motor, InfoEdge among top 6 trading ideas"
2024-02-04,Govt has collected Rs 600 cr penalty for delay in PAN-Aadhaar linking; 11.48 cr PANs not linked yet
2024-02-04,"Price Updates: TCS Hits New 52-Week High at Rs 3983.1, Registers 0.42% Gain"
2024-02-05,Tata Consultancy Services mcap cross Rs 15 lakh crore mark as shares soar
2024-02-05,TCS m-cap tops Rs 15 lakh crore as shares jump to lifetime high
2024-02-05,"Investors gain Rs 4.27 lakh crore as IT, oil and gas stocks drive Sensex 455 points higher"
2024-02-06,"F&O stocks to buy today: Biocon, Info Edge among top 8 trading ideas for 7 February 2024"
2024-02-06,TCS gives final warning to staff: Resume work from office or face consequences
2024-02-06,ET Market Watch: Sensex and Nifty end flat; IT stocks sink
2024-02-07,"F&O stocks to buy today: Biocon, Info Edge among top 8 trading ideas for 7 February 2024"
2024-02-07,TCS gives final warning to staff: Resume work from office or face consequences
2024-02-07,ET Market Watch: Sensex and Nifty end flat; IT stocks sink
2024-02-08,"F&O stocks to buy today: BEL, SBI Life among top 3 trading ideas for 9 February 2024"
2024-02-08,Rs 7 Lakh crore: LIC beats ICICI Bank to be fifth most valued company
2024-02-08,ET Market Watch: Here's why Sensex fell over 700 points today
2024-02-09,"F&O stocks to buy today: BEL, SBI Life among top 3 trading ideas for 9 February 2024"
2024-02-09,Smallcap rally steady despite high valuations as 52 stocks gain in double digits
